ID, spore print color, population, habitat, edible or poisonous, bruises, odor
2858,k,v,d,e,t,n
2859,k,y,d,e,t,n
2860,n,y,d,e,t,n
2861,k,s,d,p,f,c
2862,k,v,d,e,t,n
2863,k,v,d,e,t,n
2864,k,y,d,e,t,n
2865,k,v,d,e,t,n
2866,k,y,d,e,t,n
2867,n,y,d,e,t,n
2868,n,y,d,e,t,n
2869,n,y,d,e,t,n
2870,k,v,d,e,t,n
2871,k,v,d,e,t,n
2872,n,v,d,e,t,n
2873,n,y,d,e,t,n
2874,k,y,d,e,t,n
2875,n,y,d,e,t,n
2876,n,y,d,e,t,n
2877,k,y,d,e,t,n
2878,n,y,d,e,t,n
2879,n,y,d,e,t,n
2880,n,y,d,e,t,n
2881,n,v,d,e,t,n
2882,k,s,g,e,f,n
2883,k,v,d,e,t,n
2884,n,y,d,e,t,n
2885,k,v,d,e,t,n
2886,k,y,d,e,t,n
2887,k,v,d,e,t,n
2888,k,v,d,p,f,c
2889,k,v,d,e,t,n
2890,k,v,d,e,t,n
2891,k,a,g,e,f,n
2892,k,y,d,e,t,n
2893,n,v,d,p,f,c
2894,k,v,d,e,t,n
2895,k,v,d,e,t,n
2896,k,v,d,e,t,n
2897,k,v,d,e,t,n
2898,k,v,d,e,t,n
2899,n,y,d,e,t,n
2900,k,v,d,e,t,n
2901,n,y,d,e,t,n
2902,n,y,d,e,t,n
2903,n,v,d,e,t,n
2904,h,y,p,p,f,f
2905,n,y,d,e,t,n
2906,k,v,d,e,t,n
2907,k,y,d,e,t,n
2908,k,y,d,e,t,n
2909,k,y,d,e,t,n
2910,n,y,d,e,t,n
2911,n,y,d,e,t,n
2912,n,y,d,e,t,n
2913,n,v,d,e,t,n
2914,k,v,d,e,t,n
2915,k,y,d,e,t,n
2916,n,v,d,e,t,n
2917,n,y,d,e,t,n
2918,k,y,d,e,t,n
2919,k,y,d,e,t,n
2920,n,v,d,e,t,n
2921,k,y,d,e,t,n
2922,n,v,d,e,t,n
2923,k,y,d,e,t,n
2924,k,y,d,e,t,n
2925,k,y,d,e,t,n
2926,n,y,d,e,t,n
2927,h,y,p,p,f,f
2928,k,v,d,e,t,n
2929,n,y,d,e,t,n
2930,n,v,d,e,t,n
2931,n,v,d,e,t,n
2932,k,y,d,e,t,n
2933,k,y,d,e,t,n
2934,k,v,d,e,t,n
2935,k,v,d,e,t,n
2936,k,v,d,e,t,n
2937,n,v,d,e,t,n
2938,h,v,p,p,f,f
2939,n,y,d,e,t,n
2940,k,y,d,e,t,n
2941,n,v,d,e,t,n
2942,n,v,d,e,t,n
2943,n,y,d,e,t,n
2944,n,v,d,e,t,n
2945,k,v,d,e,t,n
2946,n,y,d,e,t,n
2947,k,y,d,e,t,n
2948,k,v,d,e,t,n
2949,n,v,d,e,t,n
2950,n,v,d,e,t,n
2951,k,y,d,e,t,n
2952,n,v,d,e,t,n
2953,k,y,d,e,t,n
2954,n,y,d,e,t,n
2955,n,y,d,e,t,n
2956,n,v,d,e,t,n
2957,k,y,d,e,t,n
2958,k,y,d,e,t,n
2959,n,y,d,e,t,n
2960,k,v,d,e,t,n
2961,k,v,d,e,t,n
2962,n,y,d,e,t,n
2963,n,y,d,e,t,n
2964,n,y,d,e,t,n
2965,k,y,d,e,t,n
2966,n,v,d,e,t,n
2967,n,s,g,e,f,n
2968,k,v,d,e,t,n
2969,n,y,d,e,t,n
2970,n,y,d,e,t,n
2971,k,y,d,e,t,n
2972,k,v,d,e,t,n
2973,k,v,d,e,t,n
2974,n,y,d,e,t,n
2975,n,y,d,e,t,n
2976,k,y,d,e,t,n
2977,k,v,d,e,t,n
2978,n,y,d,e,t,n
2979,k,y,d,e,t,n
2980,n,v,d,e,t,n
2981,n,v,d,e,t,n
2982,n,v,d,e,t,n
2983,n,v,d,e,t,n
2984,n,v,d,e,t,n
2985,k,y,d,e,t,n
2986,k,y,d,e,t,n
2987,k,y,d,e,t,n
2988,k,v,d,e,t,n
2989,n,y,d,e,t,n
2990,k,v,d,e,t,n
2991,h,v,d,p,f,f
2992,k,v,d,e,t,n
2993,n,y,d,e,t,n
2994,n,y,d,e,t,n
2995,k,v,d,e,t,n
2996,k,v,d,e,t,n
2997,k,y,d,e,t,n
2998,k,y,d,e,t,n
2999,k,v,d,e,t,n
3000,n,v,d,e,t,n
3001,k,v,d,e,t,n
3002,h,v,p,p,f,f
3003,n,y,d,e,t,n
3004,h,y,d,p,f,f
3005,k,s,d,p,f,c
3006,n,y,d,e,t,n
3007,n,v,d,e,t,n
3008,k,y,d,e,t,n
3009,k,y,d,e,t,n
3010,h,y,p,p,f,f
3011,n,v,d,e,t,n
3012,k,y,d,e,t,n
3013,n,y,d,e,t,n
3014,n,s,d,p,f,c
3015,n,y,d,e,t,n
3016,k,v,d,e,t,n
3017,h,v,g,p,f,f
3018,h,y,p,p,f,f
3019,n,v,d,e,t,n
3020,k,v,d,e,t,n
3021,k,v,d,e,t,n
3022,k,v,d,e,t,n
3023,n,y,d,e,t,n
3024,n,v,d,e,t,n
3025,n,y,d,e,t,n
3026,k,v,d,e,t,n
3027,k,s,d,p,f,c
3028,h,y,d,p,f,f
3029,n,y,d,e,t,n
3030,k,v,d,e,t,n
3031,k,v,d,e,t,n
3032,n,y,d,e,t,n
3033,k,y,d,e,t,n
3034,n,v,d,e,t,n
3035,h,v,p,p,f,f
3036,n,y,d,e,t,n
3037,n,v,d,e,t,n
3038,n,s,d,p,f,c
3039,k,y,d,e,t,n
3040,k,v,d,e,t,n
3041,h,v,g,p,f,f
3042,h,v,d,p,f,f
3043,k,v,d,e,t,n
3044,k,v,d,e,t,n
3045,n,v,d,e,t,n
3046,n,v,d,e,t,n
3047,k,v,d,e,t,n
3048,n,v,d,p,f,c
3049,k,y,d,e,t,n
3050,k,v,d,e,t,n
3051,k,y,d,e,t,n
3052,k,v,d,e,t,n
3053,k,v,d,p,f,c
3054,n,v,d,e,t,n
3055,n,y,d,e,t,n
3056,n,v,d,e,t,n
3057,k,v,d,e,t,n
3058,n,s,d,p,f,c
3059,k,s,d,p,f,c
3060,k,y,d,e,t,n
3061,h,y,d,p,f,f
3062,k,v,d,p,f,c
3063,h,v,p,p,f,f
3064,n,v,d,e,t,n
3065,h,y,p,p,f,f
3066,n,v,d,e,t,n
3067,k,y,d,e,t,n
3068,k,y,d,e,t,n
3069,n,s,d,p,f,c
3070,h,v,p,p,f,f
3071,k,v,d,e,t,n
3072,k,y,d,e,t,n
3073,k,y,d,e,t,n
3074,h,v,p,p,f,f
3075,n,y,d,e,t,n
3076,h,y,p,p,f,f
3077,n,y,d,e,t,n
3078,k,v,d,e,t,n
3079,h,v,p,p,f,f
3080,k,v,d,e,t,n
3081,n,y,d,e,t,n
3082,n,y,d,e,t,n
3083,h,v,p,p,f,f
3084,n,v,d,e,t,n
3085,k,v,d,e,t,n
3086,h,v,g,p,f,f
3087,k,y,d,e,t,n
3088,h,y,d,p,f,f
3089,n,y,d,e,t,n
3090,h,y,g,p,f,f
3091,h,y,p,p,f,f
3092,h,y,g,p,f,f
3093,n,y,d,e,t,n
3094,h,v,g,p,f,f
3095,n,v,d,e,t,n
3096,n,v,d,p,f,c
3097,k,v,d,e,t,n
3098,n,s,d,p,f,c
3099,n,y,d,e,t,n
3100,n,y,d,e,t,n
3101,k,y,d,e,t,n
3102,k,y,d,e,t,n
3103,h,y,g,p,f,f
3104,h,y,p,p,f,f
3105,k,s,d,p,f,c
3106,k,v,d,e,t,n
3107,k,y,d,e,t,n
3108,k,v,d,e,t,n
3109,k,y,d,e,t,n
3110,h,v,g,p,f,f
3111,k,v,d,p,f,c
3112,k,y,d,e,t,n
3113,n,v,d,e,t,n
3114,k,v,d,e,t,n
3115,n,v,d,e,t,n
3116,k,y,d,e,t,n
3117,k,y,d,e,t,n
3118,k,v,d,e,t,n
3119,k,v,d,p,f,c
3120,n,v,d,p,f,c
3121,k,y,d,e,t,n
3122,n,y,d,e,t,n
3123,h,y,d,p,f,f
3124,k,v,d,e,t,n
3125,k,s,d,p,f,c
3126,n,y,d,e,t,n
3127,k,y,d,e,t,n
3128,n,v,d,e,t,n
3129,n,v,d,e,t,n
3130,n,y,d,e,t,n
3131,k,v,d,e,t,n
3132,n,y,d,e,t,n
3133,k,y,d,e,t,n
3134,n,v,d,e,t,n
3135,k,y,d,e,t,n
3136,k,y,d,e,t,n
3137,k,v,d,e,t,n
3138,n,v,d,e,t,n
3139,h,v,p,p,f,f
3140,n,y,d,e,t,n
3141,k,v,d,e,t,n
3142,h,y,d,p,f,f
3143,k,y,d,e,t,n
3144,k,y,d,e,t,n
3145,n,y,d,e,t,n
3146,n,y,d,e,t,n
3147,k,v,d,e,t,n
3148,n,s,d,p,f,c
3149,n,s,d,p,f,c
3150,k,v,d,e,t,n
3151,k,y,d,e,t,n
3152,n,y,d,e,t,n
3153,h,y,d,p,f,f
3154,n,v,d,e,t,n
3155,k,y,d,e,t,n
3156,k,y,d,e,t,n
3157,n,s,d,p,f,c
3158,k,v,d,e,t,n
3159,k,v,d,e,t,n
3160,h,y,d,p,f,f
3161,k,y,d,e,t,n
3162,h,v,p,p,f,f
3163,k,s,d,p,f,c
3164,k,v,d,e,t,n
3165,h,v,p,p,f,f
3166,n,s,d,p,f,c
3167,h,v,p,p,f,f
3168,n,v,d,e,t,n
3169,h,v,p,p,f,f
3170,n,s,d,p,f,c
3171,n,y,d,e,t,n
3172,k,v,d,e,t,n
3173,n,y,d,e,t,n
3174,h,v,p,p,f,f
3175,k,v,d,p,f,c
3176,n,v,d,e,t,n
3177,k,y,d,e,t,n
3178,k,y,d,e,t,n
3179,k,v,d,e,t,n
3180,h,v,g,p,f,f
3181,n,v,d,e,t,n
3182,k,v,d,p,f,c
3183,k,s,d,p,f,c
3184,n,y,d,e,t,n
3185,n,y,d,e,t,n
3186,k,v,d,e,t,n
3187,k,v,d,e,t,n
3188,h,v,d,p,f,f
3189,h,y,p,p,f,f
3190,k,y,d,e,t,n
3191,h,v,g,p,f,f
3192,k,s,d,p,f,c
3193,n,y,d,e,t,n
3194,h,v,d,p,f,f
3195,k,y,d,e,t,n
3196,n,v,d,e,t,n
3197,k,y,d,e,t,n
3198,k,v,d,e,t,n
3199,n,v,d,e,t,n
3200,h,v,g,p,f,f
3201,n,y,d,e,t,n
3202,h,y,p,p,f,f
3203,n,y,d,e,t,n
3204,k,v,d,e,t,n
3205,n,y,d,e,t,n
3206,h,y,g,p,f,f
3207,k,v,d,e,t,n
3208,k,y,d,e,t,n
3209,h,v,g,p,f,f
3210,n,s,d,p,f,c
3211,k,v,d,e,t,n
3212,h,v,d,p,f,f
3213,n,y,d,e,t,n
3214,n,v,d,e,t,n
3215,k,v,d,e,t,n
3216,n,v,d,e,t,n
3217,k,v,d,e,t,n
3218,n,v,d,e,t,n
3219,k,v,d,p,f,c
3220,n,y,d,e,t,n
3221,n,y,d,e,t,n
3222,n,y,d,e,t,n
3223,n,y,d,e,t,n
3224,k,y,d,e,t,n
3225,n,v,d,e,t,n
3226,n,y,d,e,t,n
3227,h,y,p,p,f,f
3228,k,v,d,p,f,c
3229,k,v,d,e,t,n
3230,k,v,d,e,t,n
3231,n,v,d,e,t,n
3232,h,y,p,p,f,f
3233,n,s,d,p,f,c
3234,h,y,p,p,f,f
3235,k,y,d,e,t,n
3236,h,v,g,p,f,f
3237,n,y,d,e,t,n
3238,n,y,d,e,t,n
3239,k,v,d,e,t,n
3240,h,v,d,p,f,f
3241,k,y,d,e,t,n
3242,k,v,d,e,t,n
3243,k,s,d,p,f,c
3244,h,y,g,p,f,f
3245,k,y,d,e,t,n
3246,h,y,d,p,f,f
3247,h,y,d,p,f,f
3248,n,v,d,e,t,n
3249,h,y,g,p,f,f
3250,n,y,d,e,t,n
3251,k,y,d,e,t,n
3252,n,v,d,e,t,n
3253,k,y,d,e,t,n
3254,n,s,d,p,f,c
3255,k,v,d,e,t,n
3256,n,v,d,e,t,n
3257,n,v,d,e,t,n
3258,k,v,d,e,t,n
3259,n,v,d,p,f,c
3260,h,y,g,p,f,f
3261,k,y,d,e,t,n
3262,k,y,d,e,t,n
3263,n,v,d,p,f,c
3264,n,y,d,e,t,n
3265,h,y,p,p,f,f
3266,h,y,p,p,f,f
3267,n,y,d,e,t,n
3268,n,v,d,e,t,n
3269,n,v,d,p,f,c
3270,h,v,d,p,f,f
3271,n,s,d,p,f,c
3272,k,v,d,e,t,n
3273,k,v,d,e,t,n
3274,n,y,d,e,t,n
3275,h,y,g,p,f,f
3276,k,y,d,e,t,n
3277,k,v,d,p,f,c
3278,h,v,d,p,f,f
3279,n,y,d,e,t,n
3280,n,y,d,e,t,n
3281,h,v,p,p,f,f
3282,h,v,p,p,f,f
3283,k,v,d,p,f,c
3284,k,v,d,e,t,n
3285,h,v,d,p,f,f
3286,n,y,d,e,t,n
3287,n,v,d,e,t,n
3288,n,y,d,e,t,n
3289,n,y,d,e,t,n
3290,k,y,d,e,t,n
3291,k,y,d,e,t,n
3292,n,y,d,e,t,n
3293,k,s,d,p,f,c
3294,n,v,d,e,t,n
3295,k,v,d,e,t,n
3296,n,s,d,p,f,c
3297,k,y,d,e,t,n
3298,k,v,d,e,t,n
3299,h,v,g,p,f,f
3300,n,v,d,e,t,n
3301,h,y,g,p,f,f
3302,n,y,d,e,t,n
3303,n,y,d,e,t,n
3304,n,v,d,e,t,n
3305,h,v,g,p,f,f
3306,n,v,d,e,t,n
3307,k,s,d,p,f,c
3308,n,y,d,e,t,n
3309,k,y,d,e,t,n
3310,n,y,d,e,t,n
3311,n,v,d,e,t,n
3312,n,y,d,e,t,n
3313,n,v,d,e,t,n
3314,h,y,d,p,f,f
3315,k,y,d,e,t,n
3316,n,v,d,e,t,n
3317,n,y,d,e,t,n
3318,n,v,d,e,t,n
3319,k,y,d,e,t,n
3320,k,y,d,e,t,n
3321,n,v,d,e,t,n
3322,k,v,d,e,t,n
3323,n,s,d,p,f,c
3324,h,v,d,p,f,f
3325,n,v,d,e,t,n
3326,n,v,d,e,t,n
3327,k,s,d,p,f,c
3328,n,v,d,p,f,c
3329,h,y,p,p,f,f
3330,k,v,d,e,t,n
3331,k,v,d,e,t,n
3332,k,s,d,p,f,c
3333,n,y,d,e,t,n
3334,k,y,d,e,t,n
3335,h,v,g,p,f,f
3336,k,v,d,e,t,n
3337,k,y,d,e,t,n
3338,k,v,d,p,f,c
3339,n,y,d,e,t,n
3340,h,v,d,p,f,f
3341,k,y,d,e,t,n
3342,h,y,p,p,f,f
3343,k,v,d,e,t,n
3344,k,y,d,e,t,n
3345,n,v,d,e,t,n
3346,k,v,d,e,t,n
3347,k,v,d,p,f,c
3348,n,y,d,e,t,n
3349,k,v,d,e,t,n
3350,h,y,p,p,f,f
3351,n,v,d,e,t,n
3352,n,s,d,p,f,c
3353,h,v,g,p,f,f
3354,k,v,d,e,t,n
3355,n,v,d,e,t,n
3356,k,v,d,e,t,n
3357,n,y,d,e,t,n
3358,k,v,d,p,f,c
3359,h,v,g,p,f,f
3360,n,v,d,p,f,c
3361,n,v,d,e,t,n
3362,n,v,d,e,t,n
3363,h,y,d,p,f,f
3364,h,y,g,p,f,f
3365,n,y,d,e,t,n
3366,n,s,d,p,f,c
3367,k,s,d,p,f,c
3368,k,v,d,e,t,n
3369,n,y,d,e,t,n
3370,k,y,d,e,t,n
3371,k,v,d,e,t,n
3372,n,v,d,p,f,c
3373,h,y,d,p,f,f
3374,k,v,d,e,t,n
3375,n,v,d,e,t,n
3376,k,v,d,e,t,n
3377,n,y,d,e,t,n
3378,n,y,d,e,t,n
3379,k,v,d,e,t,n
3380,h,v,p,p,f,f
3381,k,y,d,e,t,n
3382,n,s,d,p,f,c
3383,n,y,d,e,t,n
3384,k,y,d,e,t,n
3385,n,v,d,e,t,n
3386,k,v,d,e,t,n
3387,k,v,d,e,t,n
3388,n,v,d,e,t,n
3389,n,v,d,p,f,c
3390,h,y,d,p,f,f
3391,k,v,d,p,f,c
3392,n,y,d,e,t,n
3393,n,v,d,e,t,n
3394,n,s,d,p,f,c
3395,k,y,d,e,t,n
3396,k,v,d,p,f,c
3397,n,y,d,e,t,n
3398,k,s,d,p,f,c
3399,n,v,d,e,t,n
3400,h,y,g,p,f,f
3401,k,s,d,p,f,c
3402,n,y,d,e,t,n
3403,h,y,g,p,f,f
3404,k,v,d,p,f,c
3405,k,y,d,e,t,n
3406,n,s,d,p,f,c
3407,n,v,d,e,t,n
3408,k,y,d,e,t,n
3409,n,y,d,e,t,n
3410,k,v,d,e,t,n
3411,n,y,d,e,t,n
3412,n,s,d,p,f,c
3413,k,v,d,e,t,n
3414,n,v,d,e,t,n
3415,n,y,d,e,t,n
3416,n,y,d,e,t,n
3417,k,v,d,e,t,n
3418,h,y,g,p,f,f
3419,n,s,d,p,f,c
3420,k,y,d,e,t,n
3421,n,y,d,e,t,n
3422,k,v,d,p,f,c
3423,k,y,d,e,t,n
3424,k,y,d,e,t,n
3425,k,v,d,e,t,n
3426,h,v,p,p,f,f
3427,k,v,d,p,f,c
3428,n,y,d,e,t,n
3429,n,y,d,e,t,n
3430,k,y,d,e,t,n
3431,n,v,d,e,t,n
3432,k,v,d,e,t,n
3433,h,v,p,p,f,f
3434,k,y,d,e,t,n
3435,n,v,d,e,t,n
3436,n,v,d,p,f,c
3437,n,v,d,e,t,n
3438,h,y,p,p,f,f
3439,k,y,d,e,t,n
3440,h,v,p,p,f,f
3441,k,v,d,e,t,n
3442,n,s,d,p,f,c
3443,n,v,d,e,t,n
3444,n,v,d,p,f,c
3445,n,s,d,p,f,c
3446,n,v,d,e,t,n
3447,n,v,d,p,f,c
3448,h,y,d,p,f,f
3449,n,v,d,e,t,n
3450,k,y,d,e,t,n
3451,k,y,d,e,t,n
3452,h,y,g,p,f,f
3453,n,v,d,p,f,c
3454,h,v,p,p,f,f
3455,n,s,d,p,f,c
3456,k,y,d,e,t,n
3457,k,y,d,e,t,n
3458,k,s,d,p,f,c
3459,k,y,d,e,t,n
3460,k,v,d,e,t,n
3461,k,y,d,e,t,n
3462,k,y,d,e,t,n
3463,k,y,d,e,t,n
3464,k,s,d,p,f,c
3465,n,y,d,e,t,n
3466,h,y,d,p,f,f
3467,n,v,d,e,t,n
3468,n,v,d,e,t,n
3469,n,v,d,p,f,c
3470,n,v,d,p,f,c
3471,n,y,d,e,t,n
3472,k,v,d,e,t,n
3473,k,y,d,e,t,n
3474,h,v,p,p,f,f
3475,k,v,d,e,t,n
3476,k,y,d,e,t,n
3477,n,y,d,e,t,n
3478,k,s,d,p,f,c
3479,n,v,d,e,t,n
3480,h,v,p,p,f,f
3481,k,v,d,e,t,n
3482,k,v,d,e,t,n
3483,k,y,d,e,t,n
3484,n,v,d,p,f,c
3485,n,s,d,p,f,c
3486,k,v,d,e,t,n
3487,k,v,d,e,t,n
3488,k,y,d,e,t,n
3489,h,v,g,p,f,f
3490,k,y,d,e,t,n
3491,h,y,p,p,f,f
3492,n,y,d,e,t,n
3493,h,v,g,p,f,f
3494,n,v,d,e,t,n
3495,k,y,d,e,t,n
3496,n,v,d,e,t,n
3497,h,y,d,p,f,f
3498,k,y,d,e,t,n
3499,n,v,d,e,t,n
3500,n,v,d,e,t,n
3501,k,s,d,p,f,c
3502,k,y,d,e,t,n
3503,k,y,d,e,t,n
3504,n,y,d,e,t,n
3505,k,v,d,e,t,n
3506,k,v,d,e,t,n
3507,h,v,g,p,f,f
3508,k,v,d,e,t,n
3509,h,y,d,p,f,f
3510,k,v,d,e,t,n
3511,n,y,d,e,t,n
3512,h,v,d,p,f,f
3513,n,y,d,e,t,n
3514,h,v,d,p,f,f
3515,k,y,d,e,t,n
3516,n,v,d,p,f,c
3517,k,v,d,e,t,n
3518,k,y,d,e,t,n
3519,k,v,d,e,t,n
3520,k,v,d,e,t,n
3521,n,v,d,e,t,n
3522,k,s,d,p,f,c
3523,h,v,d,p,f,f
3524,n,v,d,e,t,n
3525,n,y,d,e,t,n
3526,n,v,d,p,f,c
3527,n,y,d,e,t,n
3528,k,v,d,e,t,n
3529,k,y,d,e,t,n
3530,k,y,d,e,t,n
3531,n,y,d,e,t,n
3532,n,v,d,p,f,c
3533,k,y,d,e,t,n
3534,h,v,d,p,f,f
3535,k,v,d,e,t,n
3536,k,v,d,e,t,n
3537,k,s,d,p,f,c
3538,n,y,d,e,t,n
3539,n,v,d,e,t,n
3540,h,y,d,p,f,f
3541,n,y,d,e,t,n
3542,n,v,d,e,t,n
3543,k,v,d,e,t,n
3544,n,s,d,p,f,c
3545,h,v,d,p,f,f
3546,k,v,d,e,t,n
3547,k,v,d,e,t,n
3548,n,v,d,p,f,c
3549,n,y,d,e,t,n
3550,k,y,d,e,t,n
3551,k,v,d,e,t,n
3552,n,v,d,e,t,n
3553,n,y,d,e,t,n
3554,n,y,d,e,t,n
3555,k,v,d,p,f,c
3556,k,v,d,e,t,n
3557,h,y,d,p,f,f
3558,n,v,d,p,f,c
3559,k,v,d,e,t,n
3560,h,v,d,p,f,f
3561,k,s,d,p,f,c
3562,k,y,d,e,t,n
3563,k,v,d,e,t,n
3564,n,v,d,e,t,n
3565,n,y,d,e,t,n
3566,h,v,g,p,f,f
3567,n,y,d,e,t,n
3568,h,v,p,p,f,f
3569,n,v,d,e,t,n
3570,n,y,d,e,t,n
3571,h,y,d,p,f,f
3572,k,v,d,e,t,n
3573,h,y,p,p,f,f
3574,n,v,d,e,t,n
3575,n,v,d,e,t,n
3576,k,v,d,e,t,n
3577,n,v,d,e,t,n
3578,k,y,d,e,t,n
3579,n,v,d,e,t,n
3580,n,v,d,e,t,n
3581,n,v,d,e,t,n
3582,h,v,g,p,f,f
3583,k,y,d,e,t,n
3584,k,v,d,p,f,c
3585,n,v,d,e,t,n
3586,k,v,d,e,t,n
3587,k,y,d,e,t,n
3588,k,y,d,e,t,n
3589,n,v,d,e,t,n
3590,n,v,d,e,t,n
3591,k,s,d,p,f,c
3592,n,y,d,e,t,n
3593,k,v,d,e,t,n
3594,k,y,d,e,t,n
3595,h,y,g,p,f,f
3596,n,v,d,e,t,n
3597,k,y,d,e,t,n
3598,h,y,g,p,f,f
3599,k,y,d,e,t,n
3600,h,v,g,p,f,f
3601,k,y,d,e,t,n
3602,k,y,d,e,t,n
3603,k,y,d,e,t,n
3604,k,v,d,e,t,n
3605,h,v,d,p,f,f
3606,k,v,d,p,f,c
3607,h,v,g,p,f,f
3608,h,v,p,p,f,f
3609,h,y,p,p,f,f
3610,k,v,d,e,t,n
3611,h,v,d,p,f,f
3612,k,v,d,e,t,n
3613,n,v,d,e,t,n
3614,k,y,d,e,t,n
3615,h,y,d,p,f,f
3616,k,y,d,e,t,n
3617,n,s,d,p,f,c
3618,n,y,d,e,t,n
3619,k,y,d,e,t,n
3620,k,v,d,e,t,n
3621,n,y,d,e,t,n
3622,h,y,g,p,f,f
3623,h,v,p,p,f,f
3624,k,v,d,e,t,n
3625,n,v,d,e,t,n
3626,h,v,d,p,f,f
3627,n,y,d,e,t,n
3628,n,s,d,p,f,c
3629,n,v,d,e,t,n
3630,k,y,d,e,t,n
3631,h,y,p,p,f,f
3632,k,y,d,e,t,n
3633,k,s,d,p,f,c
3634,h,v,g,p,f,f
3635,n,v,d,e,t,n
3636,h,v,d,p,f,f
3637,k,v,d,e,t,n
3638,n,y,d,e,t,n
3639,n,y,d,e,t,n
3640,n,y,d,e,t,n
3641,n,y,d,e,t,n
3642,k,y,d,e,t,n
3643,k,y,d,e,t,n
3644,k,y,d,e,t,n
3645,h,y,g,p,f,f
3646,k,y,d,e,t,n
3647,n,v,d,e,t,n
3648,h,y,g,p,f,f
3649,h,v,d,p,f,f
3650,h,y,p,p,f,f
3651,n,y,d,e,t,n
3652,k,v,d,e,t,n
3653,h,y,d,p,f,f
3654,h,v,p,p,f,f
3655,h,v,p,p,f,f
3656,n,v,d,e,t,n
3657,n,s,d,p,f,c
3658,n,v,d,e,t,n
3659,h,y,d,p,f,f
3660,n,v,d,e,t,n
3661,k,y,d,e,t,n
3662,h,y,p,p,f,f
3663,k,y,d,e,t,n
3664,n,v,d,p,f,c
3665,k,v,d,e,t,n
3666,n,v,d,e,t,n
3667,n,y,d,e,t,n
3668,h,v,d,p,f,f
3669,n,v,d,e,t,n
3670,n,y,d,e,t,n
3671,k,s,d,p,f,c
3672,k,v,d,e,t,n
3673,k,y,d,e,t,n
3674,n,y,d,e,t,n
3675,n,v,d,e,t,n
3676,h,v,p,p,f,f
3677,n,y,d,e,t,n
3678,k,v,d,e,t,n
3679,k,y,d,e,t,n
3680,k,s,d,p,f,c
3681,k,y,d,e,t,n
3682,k,v,d,e,t,n
3683,k,y,d,e,t,n
3684,k,s,d,p,f,c
3685,h,v,p,p,f,f
3686,n,v,d,e,t,n
3687,h,v,g,p,f,f
3688,n,s,d,p,f,c
3689,k,y,d,e,t,n
3690,n,v,d,e,t,n
3691,n,v,d,e,t,n
3692,n,v,d,e,t,n
3693,n,v,d,p,f,c
3694,n,v,d,e,t,n
3695,h,v,g,p,f,f
3696,n,y,d,e,t,n
3697,n,v,d,e,t,n
3698,k,v,d,p,f,c
3699,n,y,d,e,t,n
3700,n,v,d,p,f,c
3701,n,y,d,e,t,n
3702,h,y,g,p,f,f
3703,k,y,d,e,t,n
3704,n,s,d,p,f,c
3705,h,v,p,p,f,f
3706,n,y,d,e,t,n
3707,k,y,d,e,t,n
3708,n,s,d,p,f,c
3709,h,v,g,p,f,f
3710,n,y,d,e,t,n
3711,h,v,d,p,f,f
3712,k,v,d,e,t,n
3713,k,v,d,e,t,n
3714,h,y,d,p,f,f
3715,k,y,d,e,t,n
3716,k,v,d,e,t,n
3717,n,y,d,e,t,n
3718,k,v,d,e,t,n
3719,h,v,d,p,f,f
3720,n,v,d,e,t,n
3721,k,y,d,e,t,n
3722,n,v,d,e,t,n
3723,n,y,d,e,t,n
3724,k,v,d,e,t,n
3725,h,v,d,p,f,f
3726,n,v,d,p,f,c
3727,h,v,p,p,f,f
3728,n,v,d,e,t,n
3729,k,y,d,e,t,n
3730,n,y,d,e,t,n
3731,n,y,d,e,t,n
3732,n,v,d,e,t,n
3733,k,y,d,e,t,n
3734,k,v,d,e,t,n
3735,h,y,g,p,f,f
3736,n,y,d,e,t,n
3737,n,y,d,e,t,n
3738,h,v,d,p,f,f
3739,k,s,d,p,f,c
3740,k,v,d,p,f,c
3741,n,y,d,e,t,n
3742,h,v,p,p,f,f
3743,n,v,d,p,f,c
3744,n,v,d,e,t,n
3745,n,y,d,e,t,n
3746,k,v,d,e,t,n
3747,h,v,d,p,f,f
3748,n,v,d,e,t,n
3749,n,v,d,e,t,n
3750,n,v,d,e,t,n
3751,h,v,p,p,f,f
3752,n,v,d,p,f,c
3753,k,v,d,e,t,n
3754,n,s,d,p,f,c
3755,n,v,d,p,f,c
3756,h,y,g,p,f,f
3757,n,v,d,e,t,n
3758,k,v,d,e,t,n
3759,h,y,p,p,f,f
3760,k,y,d,e,t,n
3761,n,v,d,e,t,n
3762,n,v,d,e,t,n
3763,n,y,d,e,t,n
3764,k,v,d,e,t,n
3765,k,y,d,e,t,n
3766,k,v,d,e,t,n
3767,n,v,d,e,t,n
3768,n,y,d,e,t,n
3769,n,y,d,e,t,n
3770,k,y,d,e,t,n
3771,n,y,d,e,t,n
3772,n,y,d,e,t,n
3773,n,v,d,e,t,n
3774,k,y,d,e,t,n
3775,k,y,d,e,t,n
3776,h,y,p,p,f,f
3777,n,y,d,e,t,n
3778,k,y,d,e,t,n
3779,n,v,d,e,t,n
3780,k,y,d,e,t,n
3781,n,y,d,e,t,n
3782,h,v,d,p,f,f
3783,n,v,d,e,t,n
3784,h,v,d,p,f,f
3785,n,y,d,e,t,n
3786,n,v,d,e,t,n
3787,k,y,d,e,t,n
3788,h,v,p,p,f,f
